,Loại tin,Mã tin,Link,Diện tích,Mức giá,Hướng nhà,Số tầng,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Title,Address,Đường vào,Mặt tiền,Check,Ngày đăng,Ngày hết hạn,Category
311,Tin thường,40970184,https://batdongsan.com.vn/ban-dat-duong-904-phuong-hiep-phu/chinh-chu-can-ban-gap-550m-vuong-o-do-thi-mat-904-pr40970184,550 m²,Thỏa thuận,Tây - Nam,,,,Sổ đỏ/ Sổ hồng,,Chính chủ cần bán gấp 550m2 đất ở đô thị mặt đường 904,"Đường 904, Phường Hiệp Phú, Quận 9, Hồ Chí Minh",8 m,14 m,Chưa Xác Thực,12/11/2024,22/11/2024,Ban Dat
312,Tin thường,40860538,https://batdongsan.com.vn/ban-dat-duong-le-dinh-chi-xa-le-minh-xuan/ban-gap-chinh-chu-khong-qua-moi-gioi-pr40860538,1.350 m²,"21,8 tỷ",Đông - Nam,,,,Sổ đỏ/ Sổ hồng,,Cần bán đất gấp chính chủ không qua môi giới,"Đường Lê Đình Chi, Xã Lê Minh Xuân, Bình Chánh, Hồ Chí Minh",13 m,25 m,Chưa Xác Thực,12/11/2024,22/11/2024,Ban Dat
313,Tin thường,41502559,https://batdongsan.com.vn/ban-dat-duong-234-xa-tan-quy-tay/ban-cay-lau-nam-mat-tien-nhua-6m-vi-tri-mat-tien-234-binh-chanh-pr41502559,1.028 m²,"5,8 tỷ",,,,,Sổ đỏ/ Sổ hồng,,"Bán đất cây lâu năm mặt tiền đường nhựa 6m vị trí: Mặt tiền đường 234, xã Tân Quý Tây Bình Chánh","Đường 234, Xã Tân Quý Tây, Bình Chánh, Hồ Chí Minh",6 m,20 m,Chưa Xác Thực,12/11/2024,22/11/2024,Ban Dat
314,Tin thường,41502185,https://batdongsan.com.vn/ban-dat-duong-6d-xa-vinh-loc-b/an-mat-tien-x-h-inh-chanh-tp-hcm-pr41502185,"1.439,3 m²",22 tỷ,,,,,Sổ đỏ/ Sổ hồng,,"Bán đất mặt tiền đường 6D, X. Vĩnh Lộc B, H. Bình Chánh, TP HCM","Đường 6D, Xã Vĩnh Lộc B, Bình Chánh, Hồ Chí Minh",5 m,"17,42 m",Chưa Xác Thực,12/11/2024,27/11/2024,Ban Dat
315,Tin thường,41498667,https://batdongsan.com.vn/ban-dat-duong-8-2-phuong-hiep-binh-phuoc/ban-2-nen-lien-ke-so-8-p-thu-duc-khu-dan-cu-hien-huu-xay-dung-tu-do-pr41498667,64 m²,"4,38 tỷ",,,,,Sổ hồng riêng,,"Bán 2 nền liền kề đường số 8, P. Hiệp Bình Phước, Thủ Đức - khu dân cư hiện hữu, xây dựng tự do","Đường 8, Phường Hiệp Bình Phước, Thủ Đức, Hồ Chí Minh",5 m,"4,2 m",Chưa Xác Thực,12/11/2024,22/11/2024,Ban Dat
316,Tin thường,41498639,https://batdongsan.com.vn/ban-dat-duong-2-1-phuong-truong-tho-2/ban-lo-hem-82-so-2-thu-duc-cach-mat-tien-so-2-chi-100m-pr41498639,50 m²,"4,6 tỷ",,,,,,,"Bán lô đất hẻm 82 đường số 2, Trường Thọ, Thủ Đức - Cách mặt tiền đường số 2 chỉ 100m","Đường 2, Phường Trường Thọ, Thủ Đức, Hồ Chí Minh",,5 m,Chưa Xác Thực,12/11/2024,22/11/2024,Ban Dat
317,Tin thường,41432129,https://batdongsan.com.vn/ban-dat-duong-le-van-thinh-phuong-binh-trung-dong/ban-hem-o-to-gan-nga-3-va-nguyen-duy-trinh-pr41432129,82 m²,"6,1 tỷ",Đông,,,,Sổ đỏ/ Sổ hồng,,Bán đất hẻm ô tô gần ngã 3 đường Lê Văn Thịnh và đường Nguyễn Duy Trinh,"Đường Lê Văn Thịnh, Phường Bình Trưng Đông, Quận 2, Hồ Chí Minh",5 m,6 m,TIN XÁC THỰC,05/11/2024,15/11/2024,Ban Dat
318,Tin thường,41470684,https://batdongsan.com.vn/ban-dat-phuong-an-phu/b-190m-tho-cu-hem-4m-sat-ben-thao-dien-gia-17-5-ty-pr41470684,187 m²,"17,5 tỷ",,,,,Sổ đỏ/ Sổ hồng.,,"Bán 187m2 đất thổ cư hẻm 4m phường An Phú, sát bên Thảo Điền giá 17.5 tỷ","Phường An Phú, Quận 2, Hồ Chí Minh",4 m,,TIN XÁC THỰC,08/11/2024,18/11/2024,Ban Dat
319,Tin thường,40922454,https://batdongsan.com.vn/ban-dat-duong-truong-van-bang-phuong-thanh-my-loi/ban-xay-cao-6-tang-khu-hanh-chinh-quan-2-dt-160m2-gia-chi-30-ty-4-so-hong-rieng-pr40922454,160 m²,"32,8 tỷ",Đông - Bắc,,,,Sổ đỏ/ Sổ hồng,,"Bán đất xây cao 6 tầng khu hành chính Thạnh Mỹ Lợi Quận 2, DT 160m2 giá chỉ 32 tỷ 8, sổ hồng riêng","Đường Trương Văn Bang, Phường Thạnh Mỹ Lợi, Quận 2, Hồ Chí Minh",12 m,8 m,TIN XÁC THỰC,07/11/2024,17/11/2024,Ban Dat
320,Tin thường,39531583,https://batdongsan.com.vn/ban-dat-duong-so-3-phuong-hiep-binh-chanh/ban-18x13m-khu-biet-thu-dan-chanh-pr39531583,203 m²,"14,2 tỷ",,,,,Sổ đỏ/ Sổ hồng.,,"Bán đất (10*21m) khu biệt thự Bình Dân, Hiệp Bình Chánh, TP Thủ Đức","Đường Số 3, Phường Hiệp Bình Chánh, Thủ Đức, Hồ Chí Minh",,,TIN XÁC THỰC,06/11/2024,16/11/2024,Ban Dat
321,Tin thường,41358025,https://batdongsan.com.vn/ban-dat-duong-28-phuong-linh-dong/ban-gap-lo-mat-tien-xe-tai-ngay-vanh-dai-2-sieu-hot-pr41358025,"72,2 m²","5,2 tỷ",Đông - Nam,,,,Sổ đỏ/ Sổ hồng,,Bán gấp lô đất mặt tiền đường xe tải ngay vành đai 2 linh đông siêu hot: 0933 352 ***,"Đường 28, Phường Linh Đông, Thủ Đức, Hồ Chí Minh",7 m,"4,3 m",TIN XÁC THỰC,11/11/2024,21/11/2024,Ban Dat
322,Tin thường,40920631,https://batdongsan.com.vn/ban-dat-duong-tinh-lo-15-xa-phu-hoa-dong/cat-ban-nhanh-162m2-mat-tien-15-cu-chi-pr40920631,162 m²,"1,45 tỷ",,,,,Sổ đỏ/ Sổ hồng,,"Cắt lỗ bán nhanh 162m2 đất mặt tiền Tỉnh Lộ 15, Phú Hòa Đông, Củ Chi","Đường Tỉnh lộ 15, Xã Phú Hòa Đông, Củ Chi, Hồ Chí Minh.",,6 m,TIN XÁC THỰC,12/11/2024,22/11/2024,Ban Dat
323,Tin thường,41377820,https://batdongsan.com.vn/ban-dat-xa-phuoc-thanh/gia-soc-855-trieu-206m2-tho-so-san-mat-tien-duong-nhua-cu-chi-pr41377820,206 m²,855 triệu,,,,,Sổ đỏ/ Sổ hồng.,,"Giá sốc 855 triệu/206m2 đất thổ, sổ sẵn, mặt tiền đường nhựa Phước Thạnh, Củ Chi","Xã Phước Thạnh, Củ Chi, Hồ Chí Minh",12 m,8 m,TIN XÁC THỰC,12/11/2024,22/11/2024,Ban Dat
324,Tin thường,41502661,https://batdongsan.com.vn/ban-dat-pho-nguyen-xi-phuong-26/ban-lo-ngang-hiem-4-8m-duong-truoc-nha-10m-xe-tai-quay-dau-xay-moi-ham-6-tang-gia-ban-13t-pr41502661,100 m²,13 tỷ,,,,,Sổ đỏ/ Sổ hồng,,"Bán lô đất ngang hiếm 4,8m đường trước nhà 10m xe tải quay đầu - xây mới hầm 6 tầng - giá bán 13tỷ","Đường Nguyễn Xí, Phường 26, Bình Thạnh, Hồ Chí Minh",10 m,"4,8 m",Chưa Xác Thực,12/11/2024,22/11/2024,Ban Dat
325,Tin thường,40534208,https://batdongsan.com.vn/ban-dat-duong-4a-phuong-long-thanh-my/ban-tdc-phuoc-thien-7x21-16m-ngay-vinhomes-q9-pr40534208,147 m²,"6,9 tỷ",Bắc,,,,Sổ đỏ/ Sổ hồng.,,"Bán đất TDC Phước Thiện 7x21m, đường 16m, ngay Vinhomes Q9","Đường 4A, Phường Long Thạnh Mỹ, Quận 9, Hồ Chí Minh",16 m,7 m,TIN XÁC THỰC,12/11/2024,22/11/2024,Ban Dat
326,Tin thường,41219316,https://batdongsan.com.vn/ban-dat-duong-so-9-phuong-an-khanh/b-nha-nat-2-mat-tien-9-khh-q2-dt-8-4-x-20m-thich-hop-xay-dung-ham-5-tg-27-ty-pr41219316,168 m²,27 tỷ,Đông - Nam,1 tầng,1 phòng,1 phòng,Sổ đỏ/ Sổ hồng,,"Bán nhà nát 2 mặt tiền đường số 9 An Khánh, Q2 DT: 8,4 x 20m thích hợp xây dựng: Hầm 5 tầng 27 tỷ","Đường Số 9, Phường An Khánh, Quận 2, Hồ Chí Minh",,,Chưa Xác Thực,08/11/2024,18/11/2024,Ban Dat
327,Tin thường,40297878,https://batdongsan.com.vn/ban-dat-duong-oda-xa-phuoc-thuan/cc-ban-re-du-an-khu-do-thi-villa-tai-ho-tram-vung-tau-pr40297878?source=ad&adid=2624853,30.000 m²,195 tỷ,,,,,Sổ đỏ/ Sổ hồng,,"Cc bán rẻ đất dự án khu đô thị, villa tại Phước Thuận - Hồ Tràm - Vũng Tàu","Đường ODA, Xã Phước Thuận, Xuyên Mộc, Bà Rịa Vũng Tàu",,,Chưa Xác Thực,22/10/2024,,Ban Dat
328,Tin thường,41502661,https://batdongsan.com.vn/ban-dat-pho-nguyen-xi-phuong-26/ban-lo-ngang-hiem-4-8m-duong-truoc-nha-10m-xe-tai-quay-dau-xay-moi-ham-6-tang-gia-ban-13t-pr41502661,100 m²,13 tỷ,,,,,Sổ đỏ/ Sổ hồng,,"Bán lô đất ngang hiếm 4,8m đường trước nhà 10m xe tải quay đầu - xây mới hầm 6 tầng - giá bán 13tỷ","Đường Nguyễn Xí, Phường 26, Bình Thạnh, Hồ Chí Minh",10 m,"4,8 m",Chưa Xác Thực,12/11/2024,22/11/2024,Ban Dat
329,Tin thường,41502954,https://batdongsan.com.vn/ban-dat-duong-vuon-lai-phuong-an-phu-dong-1/chu-c-tien-xoay-von-b-gap-lo-hem-q-12-gia-1ty150-shr-pr41502954,"78,8 m²","1,15 tỷ",,,,,Sổ đỏ/ Sổ hồng,,"Chủ cần tiền xoay vốn bán gấp lô đất hẻm đường Vườn Lài, Phường An Phú Đông Q.12. Giá 1tỷ150, SHR.","Đường Vườn Lài, Phường An Phú Đông, Quận 12, Hồ Chí Minh",6 m,,Chưa Xác Thực,12/11/2024,22/11/2024,Ban Dat
330,Tin thường,36446941,https://batdongsan.com.vn/ban-dat-duong-dong-hung-thuan-2-phuong-dong-hung-thuan-a/ban-lo-xay-biet-thu-180m2-nhua-7m-quan-12-so-rieng-chinh-chu-pr36446941,180 m²,"8,6 tỷ",Tây,,,,Sổ đỏ/ Sổ hồng,,"Đất thổ cư 180m2 hẻm 7m, ngay Chợ Cây Sộp, đường Đông Hưng Thuận 02, Quận 12, Giá 8tỷ6, mã ĐHT047","Đường Đông Hưng Thuận 2, Phường Đông Hưng Thuận, Quận 12, Hồ Chí Minh",8 m,"9,5 m",Chưa Xác Thực,12/11/2024,22/11/2024,Ban Dat
331,Tin thường,40980072,https://batdongsan.com.vn/ban-dat-duong-so-48-phuong-hiep-binh-chanh/ban-5-18m-92m2-mat-tien-48-thu-duc-pr40980072,92 m²,7 tỷ,,,,,Sổ đỏ/ Sổ hồng,,"Bán đất (5*18m = 92m2) mặt tiền đường 48, Phường Hiệp Bình Chánh, Thủ Đức","Đường Số 48, Phường Hiệp Bình Chánh, Thủ Đức, Hồ Chí Minh",,5 m,Chưa Xác Thực,12/11/2024,22/11/2024,Ban Dat
332,Tin VIP Bạc,41477619,https://batdongsan.com.vn/ban-dat-xa-phu-tan-3/ban-tho-cu-duong-ven-bien-huyen-dong-tien-giang-pr41477619?source=ad&adid=2647936,200 m²,250 triệu,,,,,Sổ đỏ/ Sổ hồng,,"Bán đất thổ cư đường ven biển huyện Tân Phú Đông, Tiền Giang","Xã Phú Tân, Tân Phú Đông, Tiền Giang",5 m,5 m,Chưa Xác Thực,09/11/2024,24/11/2024,Ban Dat
333,Tin thường,41502054,https://batdongsan.com.vn/ban-dat-duong-34-2-phuong-linh-dong/lo-vi-tri-dep-hxh-cach-pham-van-200m-dt-dep-60m2-4x15-vuong-xay-4-tang-pr41502054,60 m²,"4,2 tỷ",Đông - Bắc,,,,Sổ riêng,,"Lô đất vị trí đẹp HXH cách Phạm Văn Đồng Linh Đông 200m, DT đẹp 60m2 (4x15) vuông, xây 4 tầng","Đường 34, Phường Linh Đông, Thủ Đức, Hồ Chí Minh",4 m,4 m,Chưa Xác Thực,12/11/2024,22/11/2024,Ban Dat
334,Tin thường,41502822,https://batdongsan.com.vn/ban-dat-duong-pham-van-dong-phuong-hiep-binh-chanh/ban-tang-day-tro-ngay-gigamal-20-thu-duc-thu-nhap-170tr-nam-gia-6-95-ty-pr41502822,97 m²,"6,95 tỷ",,,,,Sổ đỏ/ Sổ hồng,,"Bán đất tặng dãy trọ ngay gigamal,đường 20,hiệp bình chánh thủ đức,thu nhập 170tr/năm,giá 6,95 tỷ","Đường Phạm Văn Đồng, Phường Hiệp Bình Chánh, Thủ Đức, Hồ Chí Minh",5 m,,Chưa Xác Thực,12/11/2024,22/11/2024,Ban Dat
335,Tin thường,41445568,https://batdongsan.com.vn/ban-dat-duong-ngo-chi-quoc-phuong-binh-chieu/ban-trong-tai-trung-tam-thu-duc-xe-tai-6m-dien-tich-80m2-khong-quy-hoach-pr41445568,80 m²,3 tỷ,,,,,Sổ đỏ/ Sổ hồng,,Bán đất trống tại trung tâm Bình Chiểu Thủ Đức - đường xe tải 6m - diện tích 80m2 không quy hoạch,"Đường Ngô Chí Quốc, Phường Bình Chiểu, Thủ Đức, Hồ Chí Minh",6 m,5 m,Chưa Xác Thực,06/11/2024,16/11/2024,Ban Dat
336,Tin thường,41431401,https://batdongsan.com.vn/ban-dat-duong-pham-van-dong-phuong-hiep-binh-chanh/ban-mat-tien-thu-duc-dien-tich-360m2-ngang-10-no-hau-pr41431401,360 m²,35 tỷ,,,,,Sổ hồng,,"Bán đất mặt tiền đường Phạm Văn Đồng, Hiệp Bình Chánh, Thủ Đức. Diện tích: 360m2 Ngang 10 (nở hậu)","Đường Phạm Văn Đồng, Phường Hiệp Bình Chánh, Thủ Đức, Hồ Chí Minh",,10 m,Chưa Xác Thực,05/11/2024,15/11/2024,Ban Dat
337,Tin thường,37446926,https://batdongsan.com.vn/ban-dat-duong-tran-van-cham-xa-phuoc-vinh-an/-mat-tien-kinh-doanh-buon-ban-cu-chi-91-4m2-so-hong-rieng-gia-1ty230-pr37446926,"91,4 m²","1,23 tỷ",,,,,Sổ đỏ/ Sổ hồng.,,"Đất mặt tiền kinh doanh buôn bán. Đường Trần Văn Chẩm, Củ Chi 91,4m2. Sổ hồng 1tỷ230","Đường Trần Văn Chẩm, Xã Phước Vĩnh An, Củ Chi, Hồ Chí Minh",12 m,5 m,Chưa Xác Thực,12/11/2024,22/11/2024,Ban Dat
338,Tin thường,41012652,https://batdongsan.com.vn/ban-dat-pho-ky-dong-phuong-9-5/hot-sieu-pham-kho-tim-can-duy-nhat-mat-tien-q-3-dt-17x35m-cn-592m2-gia-285-ty-pr41012652,592 m²,285 tỷ,,,,,,,"Hot! Siêu phẩm khó tìm, căn duy nhất mặt tiền Kỳ Đồng Q.3, DT: 17x35m, CN 592m2, giá 285 tỷ","Đường Kỳ Đồng, Phường 9, Quận 3, Hồ Chí Minh",,,Chưa Xác Thực,04/11/2024,14/11/2024,Ban Dat
339,Tin thường,41502695,https://batdongsan.com.vn/ban-dat-duong-lo-lu-phuong-truong-thanh/-mat-tien-92m2-cong-nhan-full-tho-cu-chi-4ty850-quan-9-pr41502695,"92,4 m²","4,85 tỷ",,,,,Sổ đỏ/ Sổ hồng,,Đất mặt tiền lò lu 92m2 công nhận full thổ cư chỉ 4ty850 quận 9,"Đường Lò Lu, Phường Trường Thạnh, Quận 9, Hồ Chí Minh",,8 m,Chưa Xác Thực,12/11/2024,22/11/2024,Ban Dat
340,Tin thường,41470042,https://batdongsan.com.vn/ban-dat-duong-lai-hung-cuong-xa-vinh-loc-b/chinh-chu-can-von-lam-kinh-doanh-ra-nhanh-lo-tho-cu-100-xay-dung-tu-do-lien-he-pr41470042,81 m²,"3,75 tỷ",Nam,,,,Sổ đỏ/ Sổ hồng,,Chính chủ cần vốn làm kinh doanh ra nhanh lô đất thổ cư 100% xây dựng tự do. Liên Hệ : 0932 140 ***,"Đường Lại Hùng Cường, Xã Vĩnh Lộc B, Bình Chánh, Hồ Chí Minh",,30 m,Chưa Xác Thực,08/11/2024,18/11/2024,Ban Dat
341,Tin thường,39321106,https://batdongsan.com.vn/ban-dat-duong-47-cl-phuong-cat-lai/ban-quan-2-dt-5x20m-gan-truong-thcs-so-do-ca-nhan-gia-54-trieu-m2-pr39321106,"109,5 m²","52,5 triệu/m²",Tây - Bắc,,,,Sổ đỏ/ Sổ hồng,,"Bán lô sổ đỏ, DT 5x20m, 5x22m, giá từ 52.5 triệu/m2, đường nhựa rộng 12m, Xây tự do mẫu mã","Đường 47-CL, Phường Cát Lái, Quận 2, Hồ Chí Minh",12 m,5 m,Chưa Xác Thực,06/11/2024,16/11/2024,Ban Dat
342,Tin thường,39893559,https://batdongsan.com.vn/ban-dat-duong-9a-phuong-long-binh-3/mt-8x20-ngay-truong-thpt-nguyen-van-tang-ngay-vinhomes-va-vanh-dai-3-pr39893559,160 m²,80 triệu/m²,Tây - Bắc,,,,Sổ đỏ/ Sổ hồng,,"Mt đường 9A 8x20m ngay trường THPT Nguyễn Văn Tăng, ngay Vinhomes và Vành Đai 3","Đường 9A, Phường Long Bình, Quận 9, Hồ Chí Minh",30 m,8 m,Chưa Xác Thực,12/11/2024,22/11/2024,Ban Dat
343,Tin thường,41409775,https://batdongsan.com.vn/ban-dat-duong-binh-quoi-phuong-28/can-ban-10-lo-va-5-can-nha-tai-p28-thanh-6-tr-m2-gia-tot-nhat-khu-vuc-pr41409775,2.000 m²,6 triệu/m²,Nam,,,,Sổ đỏ/ Sổ hồng,,Cần bán 5 lô đất tại Bình Quới P28 Bình Thạnh 6 tr/m2 giá tốt nhất khu vực 0975 960 ***,"Đường Bình Quới, Phường 28, Bình Thạnh, Hồ Chí Minh",3 m,30 m,Chưa Xác Thực,03/11/2024,13/11/2024,Ban Dat
344,Tin thường,40534208,https://batdongsan.com.vn/ban-dat-duong-4a-phuong-long-thanh-my/ban-tdc-phuoc-thien-7x21-16m-ngay-vinhomes-q9-pr40534208,147 m²,"6,9 tỷ",Bắc,,,,Sổ đỏ/ Sổ hồng.,,"Bán đất TDC Phước Thiện 7x21m, đường 16m, ngay Vinhomes Q9","Đường 4A, Phường Long Thạnh Mỹ, Quận 9, Hồ Chí Minh",16 m,7 m,TIN XÁC THỰC,12/11/2024,22/11/2024,Ban Dat
345,Tin thường,24285978,https://batdongsan.com.vn/ban-dat-xa-phuoc-kieng/ban-khu-cu-sau-lung-hoang-anh-gia-lai-3-kien-dt-5x23-gia-7-ty-pr24285978,216 m²,66 triệu/m²,Tây - Nam,,,,Sổ đỏ/ Sổ hồng.,,"Bán đất sổ đỏ khu cư xá sau lưng Hoàng Anh Gia Lai 3, Phước Kiển, DT: 9x24m, giá: 66tr/m2","Xã Phước Kiển, Nhà Bè, Hồ Chí Minh",12 m,9 m,Chưa Xác Thực,12/11/2024,22/11/2024,Ban Dat
346,Tin thường,40534119,https://batdongsan.com.vn/ban-dat-duong-9a-phuong-long-binh-3/ban-lo-tdc-phuoc-thien-5x24-2m-20m-ngay-truong-mam-non-cap-123-ngay-gan-vinhomes-pr40534119,121 m²,6 tỷ,Tây - Bắc,,,,Sổ đỏ/ Sổ hồng.,,"Bán lô đất TĐC Phước Thiện 5x24,2m, đường 20m, ngay trường mầm non, cấp 123, ngay gần Vinhomes","Đường 9A, Phường Long Bình, Quận 9, Hồ Chí Minh",20 m,5 m,Chưa Xác Thực,12/11/2024,22/11/2024,Ban Dat
347,Tin thường,37986562,https://batdongsan.com.vn/ban-dat-duong-nguyen-thi-ranh-xa-trung-lap-ha/-tho-cu-90m2-mat-tien-kinh-doanh-buon-ban-so-hong-850trieu-pr37986562,90 m²,850 triệu,,,,,Sổ đỏ/ Sổ hồng,,"Đất thổ cư 90m2 đường Nguyễn Thị Rành, Trung Lập Hạ. Mặt tiền kinh doanh buôn bán. Sổ hồng 850triệu","Đường Nguyễn Thị Rành, Xã Trung Lập Hạ, Củ Chi, Hồ Chí Minh",12 m,5 m,Chưa Xác Thực,12/11/2024,22/11/2024,Ban Dat
348,Tin thường,41432129,https://batdongsan.com.vn/ban-dat-duong-le-van-thinh-phuong-binh-trung-dong/ban-hem-o-to-gan-nga-3-va-nguyen-duy-trinh-pr41432129,82 m²,"6,1 tỷ",Đông,,,,Sổ đỏ/ Sổ hồng,,Bán đất hẻm ô tô gần ngã 3 đường Lê Văn Thịnh và đường Nguyễn Duy Trinh,"Đường Lê Văn Thịnh, Phường Bình Trưng Đông, Quận 2, Hồ Chí Minh",5 m,6 m,TIN XÁC THỰC,05/11/2024,15/11/2024,Ban Dat
349,Tin thường,41470684,https://batdongsan.com.vn/ban-dat-phuong-an-phu/b-190m-tho-cu-hem-4m-sat-ben-thao-dien-gia-17-5-ty-pr41470684,187 m²,"17,5 tỷ",,,,,Sổ đỏ/ Sổ hồng.,,"Bán 187m2 đất thổ cư hẻm 4m phường An Phú, sát bên Thảo Điền giá 17.5 tỷ","Phường An Phú, Quận 2, Hồ Chí Minh",4 m,,TIN XÁC THỰC,08/11/2024,18/11/2024,Ban Dat
350,Tin thường,40922454,https://batdongsan.com.vn/ban-dat-duong-truong-van-bang-phuong-thanh-my-loi/ban-xay-cao-6-tang-khu-hanh-chinh-quan-2-dt-160m2-gia-chi-30-ty-4-so-hong-rieng-pr40922454,160 m²,"32,8 tỷ",Đông - Bắc,,,,Sổ đỏ/ Sổ hồng,,"Bán đất xây cao 6 tầng khu hành chính Thạnh Mỹ Lợi Quận 2, DT 160m2 giá chỉ 32 tỷ 8, sổ hồng riêng","Đường Trương Văn Bang, Phường Thạnh Mỹ Lợi, Quận 2, Hồ Chí Minh",12 m,8 m,TIN XÁC THỰC,07/11/2024,17/11/2024,Ban Dat
351,Tin thường,39531583,https://batdongsan.com.vn/ban-dat-duong-so-3-phuong-hiep-binh-chanh/ban-18x13m-khu-biet-thu-dan-chanh-pr39531583,203 m²,"14,2 tỷ",,,,,Sổ đỏ/ Sổ hồng.,,"Bán đất (10*21m) khu biệt thự Bình Dân, Hiệp Bình Chánh, TP Thủ Đức","Đường Số 3, Phường Hiệp Bình Chánh, Thủ Đức, Hồ Chí Minh",,,TIN XÁC THỰC,06/11/2024,16/11/2024,Ban Dat
352,Tin thường,41358025,https://batdongsan.com.vn/ban-dat-duong-28-phuong-linh-dong/ban-gap-lo-mat-tien-xe-tai-ngay-vanh-dai-2-sieu-hot-pr41358025,"72,2 m²","5,2 tỷ",Đông - Nam,,,,Sổ đỏ/ Sổ hồng,,Bán gấp lô đất mặt tiền đường xe tải ngay vành đai 2 linh đông siêu hot: 0933 352 ***,"Đường 28, Phường Linh Đông, Thủ Đức, Hồ Chí Minh",7 m,"4,3 m",TIN XÁC THỰC,11/11/2024,21/11/2024,Ban Dat
353,Tin thường,40920631,https://batdongsan.com.vn/ban-dat-duong-tinh-lo-15-xa-phu-hoa-dong/cat-ban-nhanh-162m2-mat-tien-15-cu-chi-pr40920631,162 m²,"1,45 tỷ",,,,,Sổ đỏ/ Sổ hồng,,"Cắt lỗ bán nhanh 162m2 đất mặt tiền Tỉnh Lộ 15, Phú Hòa Đông, Củ Chi","Đường Tỉnh lộ 15, Xã Phú Hòa Đông, Củ Chi, Hồ Chí Minh.",,6 m,TIN XÁC THỰC,12/11/2024,22/11/2024,Ban Dat
354,Tin thường,41377820,https://batdongsan.com.vn/ban-dat-xa-phuoc-thanh/gia-soc-855-trieu-206m2-tho-so-san-mat-tien-duong-nhua-cu-chi-pr41377820,206 m²,855 triệu,,,,,Sổ đỏ/ Sổ hồng.,,"Giá sốc 855 triệu/206m2 đất thổ, sổ sẵn, mặt tiền đường nhựa Phước Thạnh, Củ Chi","Xã Phước Thạnh, Củ Chi, Hồ Chí Minh",12 m,8 m,TIN XÁC THỰC,12/11/2024,22/11/2024,Ban Dat
355,Tin thường,41502661,https://batdongsan.com.vn/ban-dat-pho-nguyen-xi-phuong-26/ban-lo-ngang-hiem-4-8m-duong-truoc-nha-10m-xe-tai-quay-dau-xay-moi-ham-6-tang-gia-ban-13t-pr41502661,100 m²,13 tỷ,,,,,Sổ đỏ/ Sổ hồng,,"Bán lô đất ngang hiếm 4,8m đường trước nhà 10m xe tải quay đầu - xây mới hầm 6 tầng - giá bán 13tỷ","Đường Nguyễn Xí, Phường 26, Bình Thạnh, Hồ Chí Minh",10 m,"4,8 m",Chưa Xác Thực,12/11/2024,22/11/2024,Ban Dat
356,Tin thường,40534208,https://batdongsan.com.vn/ban-dat-duong-4a-phuong-long-thanh-my/ban-tdc-phuoc-thien-7x21-16m-ngay-vinhomes-q9-pr40534208,147 m²,"6,9 tỷ",Bắc,,,,Sổ đỏ/ Sổ hồng.,,"Bán đất TDC Phước Thiện 7x21m, đường 16m, ngay Vinhomes Q9","Đường 4A, Phường Long Thạnh Mỹ, Quận 9, Hồ Chí Minh",16 m,7 m,TIN XÁC THỰC,12/11/2024,22/11/2024,Ban Dat
357,Tin thường,40737974,https://batdongsan.com.vn/ban-dat-duong-kenh-a-xa-le-minh-xuan/chu-cn-bn-lo-02-mt-v-lo-2-thich-thien-ho-gi-chot-13-7ty-lh-pr40737974,2.241 m²,"13,7 tỷ",,,,,Sổ đỏ/ Sổ hồng,,"Chu cần bán lô 02 MT đường Kênh A và đường Lô 2 Thích Thiện Hoà, giá chốt 13,7tỷ. LH0909 805 ***","Đường Kênh A, Xã Lê Minh Xuân, Bình Chánh, Hồ Chí Minh",,45 m,TIN XÁC THỰC,12/11/2024,22/11/2024,Ban Dat
358,Tin thường,40297878,https://batdongsan.com.vn/ban-dat-duong-oda-xa-phuoc-thuan/cc-ban-re-du-an-khu-do-thi-villa-tai-ho-tram-vung-tau-pr40297878?source=ad&adid=2624853,30.000 m²,195 tỷ,,,,,Sổ đỏ/ Sổ hồng,,"Cc bán rẻ đất dự án khu đô thị, villa tại Phước Thuận - Hồ Tràm - Vũng Tàu","Đường ODA, Xã Phước Thuận, Xuyên Mộc, Bà Rịa Vũng Tàu",,,Chưa Xác Thực,22/10/2024,,Ban Dat
359,Tin thường,38293650,https://batdongsan.com.vn/ban-dat-duong-binh-quoi-phuong-28/ban-biet-thu-villa-thien-ha-p28-thanh-10x20m-12x20m-50tr-m2-so-do-100-tho-cu-pr38293650,200 m²,48 triệu/m²,Tây - Nam,,,,Sổ đỏ/ Sổ hồng,,Bán đất biệt thự Villa Thiên Hà P28 Bình Thạnh 10x20m; 12x20m 9.5 tỷ sổ đỏ 100% thổ cư,"Đường Bình Quới, Phường 28, Bình Thạnh, Hồ Chí Minh",12 m,10 m,Chưa Xác Thực,12/11/2024,22/11/2024,Ban Dat
